"observationDay","team","county","practiceFacilityCounty","stadiumCounty","positives","population"
2021-01-17,"ARI","Gila",FALSE,FALSE,56,54018
2021-01-18,"ARI","Gila",FALSE,FALSE,21,54018
2021-01-19,"ARI","Gila",FALSE,FALSE,38,54018
2021-01-20,"ARI","Gila",FALSE,FALSE,26,54018
2021-01-21,"ARI","Gila",FALSE,FALSE,98,54018
2021-01-22,"ARI","Gila",FALSE,FALSE,69,54018
2021-01-23,"ARI","Gila",FALSE,FALSE,63,54018
2021-01-24,"ARI","Gila",FALSE,FALSE,52,54018
2021-01-25,"ARI","Gila",FALSE,FALSE,49,54018
2021-01-26,"ARI","Gila",FALSE,FALSE,19,54018
2021-01-27,"ARI","Gila",FALSE,FALSE,43,54018
2021-01-28,"ARI","Gila",FALSE,FALSE,33,54018
2021-01-29,"ARI","Gila",FALSE,FALSE,34,54018
2021-01-30,"ARI","Gila",FALSE,FALSE,47,54018
2021-01-31,"ARI","Gila",FALSE,FALSE,42,54018
2021-02-01,"ARI","Gila",FALSE,FALSE,8,54018
2021-02-02,"ARI","Gila",FALSE,FALSE,5,54018
2020-01-26,"ARI","Maricopa",TRUE,TRUE,1,4485414
2020-01-27,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-01-28,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-01-29,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-01-30,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-01-31,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-01,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-02,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-03,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-04,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-05,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-06,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-07,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-08,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-09,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-10,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-11,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-12,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-13,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-14,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-15,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-16,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-17,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-18,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-19,"ARI","Maricopa",TRUE,TRUE,0,4485414
2020-02-20,"ARI","Maricopa",TRUE,TRUE,0,4485414
