"observationDay","team","testedToday"
"2020-11-24","CAR",TRUE
"2020-11-25","CAR",TRUE
"2020-11-26","CAR",TRUE
"2020-11-27","CAR",TRUE
"2020-11-28","CAR",TRUE
"2020-11-29","CAR",TRUE
"2020-11-30","CAR",TRUE
"2020-12-01","CAR",TRUE
"2020-12-02","CAR",TRUE
"2020-12-03","CAR",TRUE
"2020-12-04","CAR",TRUE
"2020-12-05","CAR",TRUE
"2020-12-06","CAR",TRUE
"2020-12-07","CAR",TRUE
"2020-12-08","CAR",TRUE
"2020-12-09","CAR",TRUE
"2020-12-10","CAR",TRUE
"2020-12-11","CAR",TRUE
"2020-12-12","CAR",TRUE
"2020-12-13","CAR",TRUE
"2020-12-14","CAR",TRUE
"2020-12-15","CAR",TRUE
"2020-12-16","CAR",TRUE
"2020-12-17","CAR",TRUE
"2020-12-18","CAR",TRUE
"2020-12-19","CAR",TRUE
"2020-12-20","CAR",TRUE
"2020-12-21","CAR",TRUE
"2020-12-22","CAR",TRUE
"2020-12-23","CAR",TRUE
"2020-12-24","CAR",TRUE
"2020-12-25","CAR",TRUE
"2020-12-26","CAR",TRUE
"2020-12-27","CAR",TRUE
"2020-12-28","CAR",TRUE
"2020-12-29","CAR",TRUE
"2020-12-30","CAR",TRUE
"2020-12-31","CAR",TRUE
"2021-01-01","CAR",TRUE
"2021-01-02","CAR",TRUE
"2020-08-01","CHI",TRUE
"2020-08-02","CHI",TRUE
"2020-08-03","CHI",TRUE
"2020-08-04","CHI",TRUE
"2020-08-05","CHI",TRUE
"2020-08-06","CHI",TRUE
"2020-08-07","CHI",TRUE
"2020-08-08","CHI",TRUE
"2020-08-09","CHI",TRUE
"2020-08-10","CHI",TRUE
"2020-08-11","CHI",TRUE
"2020-08-12","CHI",TRUE
"2020-08-13","CHI",TRUE
"2020-08-14","CHI",TRUE
"2020-08-15","CHI",TRUE
"2020-08-16","CHI",TRUE
"2020-08-17","CHI",TRUE
"2020-08-18","CHI",TRUE
"2020-08-19","CHI",TRUE
"2020-08-20","CHI",TRUE
"2020-08-21","CHI",TRUE
"2020-08-22","CHI",TRUE
"2020-08-23","CHI",TRUE
"2020-08-24","CHI",TRUE
"2020-08-25","CHI",TRUE
"2020-08-26","CHI",TRUE
"2020-08-27","CHI",TRUE
"2020-08-28","CHI",TRUE
"2020-08-29","CHI",TRUE
"2020-08-30","CHI",TRUE
"2020-08-31","CHI",TRUE
"2020-09-01","CHI",TRUE
"2020-09-02","CHI",TRUE
"2020-09-03","CHI",TRUE
"2020-09-04","CHI",TRUE
"2020-09-05","CHI",TRUE
"2020-09-06","CHI",TRUE
"2020-09-07","CHI",TRUE
"2020-09-08","CHI",TRUE
"2020-09-09","CHI",TRUE
"2020-09-10","CHI",TRUE
"2020-09-11","CHI",TRUE
"2020-09-12","CHI",TRUE
"2020-09-13","CHI",FALSE
